"ProcessName","Path","Id"
"Discord","C:\Users\nico\AppData\Local\Discord\app-1.0.9012\Discord.exe","20416"
"dllhost","C:\WINDOWS\system32\DllHost.exe","17252"
"dllhost","C:\WINDOWS\system32\DllHost.exe","29216"
"DrSDKCaller",,"10744"
"dwm",,"2108"
"esif_uf",,"5996"
"explorer","C:\WINDOWS\Explorer.EXE","14184"
"FileCoAuth","C:\Users\nico\AppData\Local\Microsoft\OneDrive\23.061.0319.0001\FileCoAuth.exe","13760"
"fontdrvhost",,"1252"
"fontdrvhost",,"1868"
"GameBar","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_5.823.3162.0_x64__8wekyb3d8bbwe\GameBar.exe","35124"
"GameBarFTServer","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_5.823.3162.0_x64__8wekyb3d8bbwe\GameBarFTServer.exe","27920"
"gameinputsvc",,"5568"
"gameinputsvc",,"6112"
"GameLibraryAppService","C:\Program Files\WindowsApps\DellInc.AlienwareCommandCenter_5.5.43.0_x64__htrsf667h5kn2\GameLibrary\GameLibraryAppService.exe","7056"
"GameManagerService",,"5692"
"gamingservices",,"8248"
"gamingservicesnet",,"5136"
"HxOutlook","C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.21374.0_x64__8wekyb3d8bbwe\HxOutlook.exe","29528"
"HxTsr","C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.21374.0_x64__8wekyb3d8bbwe\HxTsr.exe","27632"
"Idle",,"0"
"igfxCUIService",,"2908"
"igfxEM","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_7208949846a9b9dc\igfxEM.exe","15204"
"IntelCpHDCPSvc",,"2416"
"IntelCpHeciSvc",,"2688"
"IntelSoftwareAssetManagerService",,"14060"
"IntelSoftwareAssetManagerService",,"29320"
"jhi_service",,"24080"
"jusched","C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe","22872"
"KAPS",,"9860"
"KAPSService",,"9724"
"KillerAnalyticsService",,"5608"
"KillerNetworkService",,"6192"
"KNDBWM",,"9036"
"KNDBWMService",,"9064"
"LockApp","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","22204"
"lsass",,"1708"
"mDNSResponder",,"5560"
"Memory Compression",,"3816"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\111.0.1661.54\msedgewebview2.exe","16380"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\111.0.1661.54\msedgewebview2.exe","25960"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\111.0.1661.54\msedgewebview2.exe","26368"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\111.0.1661.54\msedgewebview2.exe","26632"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\111.0.1661.54\msedgewebview2.exe","26648"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\111.0.1661.54\msedgewebview2.exe","26760"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\111.0.1661.54\msedgewebview2.exe","28856"
"NahimicService",,"5988"
